지역번호,지역명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온관측지점,평균최저기온(℃),최저기온(℃),최저기온관측지점
0,전국,2023-10-22,11.5,18.7,22,강릉,4.2,-1.8,정선군
0,전국,2023-10-21,10.1,17.1,21.1,서귀포,4.3,-1.8,정선군
0,전국,2023-10-20,12.6,16.7,20.9,고산,8.3,1.7,대관령
0,전국,2023-10-19,15.7,20.3,26.5,성산,11.2,5.1,정선군
0,전국,2023-10-18,14.3,22.8,26.7,강릉,6.7,-0.9,대관령
0,전국,2023-10-17,12.9,20.9,25.1,광양시,6.7,-1.7,대관령
0,전국,2023-10-16,14.7,20.6,24.5,서귀포,9.4,2.5,대관령
0,전국,2023-10-15,15.4,21.2,24.5,양산시,11,5.3,대관령
0,전국,2023-10-14,15.2,21.2,26.5,김해시,11.2,4.9,대관령
0,전국,2023-10-13,16.3,22.2,25.4,양산시,11.9,5.6,대관령
0,전국,2023-10-12,15.6,23.1,25.7,"전주,김해시",9.5,1.5,대관령
0,전국,2023-10-11,15.7,23,25.5,정읍,10.4,2,대관령
0,전국,2023-10-10,16.2,22.3,25.5,김해시,11.8,5.3,대관령
0,전국,2023-10-09,16.8,21.8,25.3,"서귀포,광양시",12.9,5,대관령
0,전국,2023-10-08,16.7,20.6,24.5,고산,13.7,6.6,대관령
0,전국,2023-10-07,15.9,20.8,24.2,"김해시,양산시",11,1.7,대관령
0,전국,2023-10-06,14.6,21.1,24.6,김해시,9,-0.7,대관령
0,전국,2023-10-05,15,19.8,24.1,서귀포,10.8,3,대관령
0,전국,2023-10-04,17.5,23.8,27.3,양산시,11.8,5.2,태백
0,전국,2023-10-03,15.6,20.6,24.3,성산,11.7,2.7,대관령
0,전국,2023-10-02,16.4,23.8,27,양산시,10.7,2,대관령
0,전국,2023-10-01,17.7,23.6,26.6,양산시,12.7,5.3,대관령
0,전국,2023-09-30,18.8,23.4,26.7,강릉,15.3,11.3,태백
0,전국,2023-09-29,20.3,25.7,30.6,양산시,16.4,10.9,태백
0,전국,2023-09-28,22.2,27.2,30.5,의령군,18.4,14.2,태백
0,전국,2023-09-27,21.9,24.9,30.9,양산시,20,16.3,대관령
0,전국,2023-09-26,20.9,22.6,29.8,고흥,19.4,14.8,대관령
0,전국,2023-09-25,21.1,25.8,29.1,부산,17.5,11.8,대관령
0,전국,2023-09-24,20.3,25.3,28.3,김해시,15.7,11.5,"북춘천,대관령"
0,전국,2023-09-23,19.6,25.3,27.8,김해시,14.7,6.4,대관령
0,전국,2023-09-22,19.4,25.2,28.7,"강진군,함양군",15.3,6.4,대관령
0,전국,2023-09-21,19.5,22.9,29.1,서귀포,17,9,대관령
0,전국,2023-09-20,21.5,24,31.7,제주,19.4,13.8,대관령
0,전국,2023-09-19,23.4,28.1,31.9,"강릉,양산시",19.9,15.6,대관령
0,전국,2023-09-18,24.4,29.4,32.8,대구,21.1,17.2,태백
0,전국,2023-09-17,24,27.8,30.6,해남,21.6,18.2,대관령
0,전국,2023-09-16,23.1,26.2,31.2,성산,21.5,17.7,대관령
0,전국,2023-09-15,22.4,24.7,31.6,성산,20.8,16.2,대관령
0,전국,2023-09-14,22.1,24.9,28,서귀포,19.9,15.6,대관령
0,전국,2023-09-13,22.2,25,32.4,제주,20.2,15.3,대관령
0,전국,2023-09-12,24.3,29.6,32.2,"정선군,양산시",20.4,15.5,대관령
0,전국,2023-09-11,24.1,29.6,32.7,경주시,19.7,14,대관령
0,전국,2023-09-10,23.4,29.4,33.2,정선군,18.5,10.3,대관령
0,전국,2023-09-09,22.9,29.4,32.4,정선군,17.3,8,대관령
0,전국,2023-09-08,22.6,28.7,31.5,김해시,17.2,10.6,대관령
0,전국,2023-09-07,23.6,29.5,31.7,보령,18.5,11.7,대관령
0,전국,2023-09-06,25,30.4,32.9,강진군,20.6,14.1,대관령
0,전국,2023-09-05,25.7,30.5,33.4,순창군,22.1,15.5,대관령
0,전국,2023-09-04,25.8,30.5,33.3,김해시,22.5,16.7,대관령
0,전국,2023-09-03,25.3,30.1,33.4,밀양,21.9,17.2,대관령
0,전국,2023-09-02,23.6,28.8,31.9,청주,19.1,10.6,대관령
0,전국,2023-09-01,23.3,29,32.6,"강진군,장흥",19.3,11.1,대관령
0,전국,2023-08-31,23.3,27.8,32.4,양산시,20.2,13.6,대관령
0,전국,2023-08-30,22.8,24.9,29.8,울릉도,21.1,16.3,대관령
0,전국,2023-08-29,25.1,28.2,32.7,제주,22.7,19.2,대관령
0,전국,2023-08-28,24.9,27.7,33.7,제주,22.3,16.7,대관령
0,전국,2023-08-27,25.2,30,33.9,의령군,20.8,13.8,대관령
0,전국,2023-08-26,25,30.6,34.2,의령군,20.7,15.3,태백
0,전국,2023-08-25,25.7,30.5,33.8,의령군,21.9,17.6,태백
0,전국,2023-08-24,24.6,27.7,31.7,의령군,22.7,17.3,대관령
0,전국,2023-08-23,26.1,30.7,35.2,경주시,23.2,17.3,대관령
0,전국,2023-08-22,27.5,32.1,35.5,강릉,24.3,20.5,"태백,장수"
0,전국,2023-08-21,27.7,32.6,34.9,청주,24,18.5,대관령
0,전국,2023-08-20,27.2,32.2,35.1,"양산시,의령군",24,19,대관령
0,전국,2023-08-19,27,31.5,34.9,"영월,정선군",23.9,18.2,대관령
0,전국,2023-08-18,26.4,31.2,35.7,정선군,23,15.5,대관령
0,전국,2023-08-17,25.9,30.3,33.5,해남,22.6,16.8,대관령
0,전국,2023-08-16,26.3,31,34.1,강진군,22.9,17.6,태백
0,전국,2023-08-15,26.6,31.5,34.7,함양군,22.9,18,대관령
