지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,2022-12-31,0,0.2,서산,,
0,전국,2022-12-30,0,0.3,수원,,
0,전국,2022-12-29,0,0.9,백령도,,
0,전국,2022-12-28,0,0.9,수원,,
0,전국,2022-12-27,0,1.1,울릉도,,
0,전국,2022-12-26,0,9.8,울릉도,,
0,전국,2022-12-25,0,8.8,울릉도,,
0,전국,2022-12-24,0,11.3,울릉도,,
0,전국,2022-12-23,1.8,25.1,울릉도,,
0,전국,2022-12-22,1.8,23,성산,,
0,전국,2022-12-21,5.2,19.4,부산,,
0,전국,2022-12-20,0,6.3,백령도,,
0,전국,2022-12-19,0.1,3.6,목포,,
0,전국,2022-12-18,0.6,10.3,고창,,
0,전국,2022-12-17,1.1,7.8,성산,,
0,전국,2022-12-16,0,1.3,울릉도,,
0,전국,2022-12-15,1,6.5,홍성,,
0,전국,2022-12-14,0.4,5.7,울릉도,,
0,전국,2022-12-13,1.8,11.2,천안,,
0,전국,2022-12-12,0.8,20.5,울릉도,,
0,전국,2022-12-11,0.1,8.5,울릉도,,
0,전국,2022-12-10,0,0.4,서귀포,,
0,전국,2022-12-09,0,0.3,해남,,
0,전국,2022-12-08,0,,,,
0,전국,2022-12-07,0.1,0.9,양평,,
0,전국,2022-12-06,0.3,3.6,서산,,
0,전국,2022-12-05,0,0.2,울릉도,,
0,전국,2022-12-04,0,0.7,울릉도,,
0,전국,2022-12-03,0.2,3.1,흑산도,,
0,전국,2022-12-02,0,1.2,백령도,,
0,전국,2022-12-01,0,3.7,백령도,,
0,전국,2022-11-30,0,1.8,영광군,,
0,전국,2022-11-29,11,42.4,광양시,,
0,전국,2022-11-28,15.8,97.5,성산,,
0,전국,2022-11-27,0,,,,
0,전국,2022-11-26,0.1,1.4,양평,,
0,전국,2022-11-25,0.2,3.7,철원,0.4,백령도
0,전국,2022-11-24,0,1,울릉도,,
0,전국,2022-11-23,2.8,38,영덕,,
0,전국,2022-11-22,6.8,146.7,울진,,
0,전국,2022-11-21,0,0.8,백령도,,
0,전국,2022-11-20,0.1,27.6,성산,,
0,전국,2022-11-19,0,0.8,성산,,
0,전국,2022-11-18,0,,,,
0,전국,2022-11-17,0,0,"고산,성산,서귀포",,
0,전국,2022-11-16,0.4,5.1,부여,,
0,전국,2022-11-15,0.6,4.7,철원,,
0,전국,2022-11-14,0,2.4,울릉도,,
0,전국,2022-11-13,10.9,46.1,장수,,
0,전국,2022-11-12,12.9,57.9,서울,,
0,전국,2022-11-11,0,3,강릉,0,속초
0,전국,2022-11-10,0,8.2,성산,0,속초
0,전국,2022-11-09,0,0,김해시,,
0,전국,2022-11-08,0,0.2,수원,,
0,전국,2022-11-07,0,1.1,철원,,
0,전국,2022-11-06,0,,,,
0,전국,2022-11-05,0,7.7,울릉도,,
0,전국,2022-11-04,0,16.4,울릉도,,
0,전국,2022-11-03,0,0,"철원,동두천,파주,백령도",0,영월
0,전국,2022-11-02,0,0,"고창,남원,순창군",,
0,전국,2022-11-01,0,0.4,백령도,,
0,전국,2022-10-31,0,0,거창,0,거창
0,전국,2022-10-30,0.3,11,울진,5.6,울진
0,전국,2022-10-29,0.1,2.2,포항,1.8,영덕
0,전국,2022-10-28,0.9,34.3,울릉도,27.3,울릉도
0,전국,2022-10-27,0.6,34.3,속초,21.7,속초
0,전국,2022-10-26,0,0,성산,,
0,전국,2022-10-25,0.1,2.5,북강릉,1.3,"북강릉,강릉"
0,전국,2022-10-24,1.3,37.5,속초,6.1,속초
0,전국,2022-10-23,1.6,30,동해,13.9,속초
0,전국,2022-10-22,0,0.6,정읍,0.6,정읍
0,전국,2022-10-21,0,0.2,산청,0.2,산청
0,전국,2022-10-20,0,,,,
0,전국,2022-10-19,0,1.2,울릉도,1.2,울릉도
0,전국,2022-10-18,0,4.6,울릉도,3,울릉도
0,전국,2022-10-17,0,3.4,울릉도,2.1,울릉도
0,전국,2022-10-16,0,1.3,철원,1.3,철원
0,전국,2022-10-15,0,,,,
0,전국,2022-10-14,0,0,문경,0,문경
0,전국,2022-10-13,0,,,,
0,전국,2022-10-12,0,0,울산,0,울산
0,전국,2022-10-11,0.1,0.7,장수,1.8,고창군
0,전국,2022-10-10,2.5,20.9,고창군,4.9,고창군
0,전국,2022-10-09,8.2,30.9,강화,15.4,울릉도
0,전국,2022-10-08,0,28.4,성산,10.1,성산
0,전국,2022-10-07,2.4,81.8,울릉도,50,울릉도
0,전국,2022-10-06,3.8,94.5,울진,63.8,울진
0,전국,2022-10-05,2.6,68.2,속초,16.4,북강릉
0,전국,2022-10-04,31.1,116.9,강릉,36.6,홍성
0,전국,2022-10-03,18.7,118.4,파주,53.3,파주
0,전국,2022-10-02,3.3,44.8,강화,15.8,강화
0,전국,2022-10-01,0,0,군산,0,군산
0,전국,2022-09-30,0,,,,
0,전국,2022-09-29,0,0.3,고산,0.2,고산
0,전국,2022-09-28,0,0.3,고산,0.3,고산
0,전국,2022-09-27,0,1,고산,1,고산
0,전국,2022-09-26,0,0.5,진도군,0.5,진도군
0,전국,2022-09-25,0,0,"부산,통영,완도,제주",0,"부산,통영,완도,제주"
0,전국,2022-09-24,0,,,,
0,전국,2022-09-23,0.4,4.3,인천,4.3,인천
0,전국,2022-09-22,0,0.3,백령도,0.3,백령도
0,전국,2022-09-21,0,0.2,대관령,0.1,대관령
0,전국,2022-09-20,0,2,대관령,1.4,대관령
